ptt,tuid,year,month,day,longitude,latitude,date,type,depth_min,temp_depth_min,depth_max,depth_range,tsst
dimensionless,dimensionless,unitless,mm (01 to 12),dd (01 to 31),degrees_east,degrees_north,unitless,dimensionless,meters,degrees Celsius,meters,meters,degrees Celsius
100974,1,2011,06,27,-69.9158,42.194,06/27/2011,tag,1,10.65,208,207,NaN
100974,0,2011,06,28,-69.8975,42.2427,06/28/2011,gpe,NaN,NaN,NaN,NaN,NaN
100974,2,2011,06,30,-69.695,42.3611,06/30/2011,gpe,1,12.75,176,175,NaN
100974,3,2011,07,11,-67.4695,40.2386,07/11/2011,gpe,1,10.025,224,223,NaN
100974,7,2011,07,25,-66.6392,40.1162,07/25/2011,gpe,1,16.25,256,255,NaN
100974,0,2011,08,05,-67.523,40.3629,08/05/2011,gpe,NaN,NaN,NaN,NaN,NaN
100974,27,2011,09,06,-66.5266,39.9573,09/06/2011,gpe,1,15.575,192,191,NaN
100974,0,2011,10,16,-64.5611,40.3783,10/16/2011,gpe,NaN,NaN,NaN,NaN,NaN
100974,42,2011,10,19,-63.3553,40.4004,10/19/2011,gpe,1,12.8,232,231,NaN
100974,46,2011,10,25,-62.2392,39.3659,10/25/2011,pdt,240,9.2,328,88,NaN
100974,50,2011,11,05,-60.6659,37.5221,11/05/2011,pdt,104,20.8,768,664,NaN
100974,51,2011,11,07,-59.2125,35.8219,11/07/2011,pdt,112,20.6,920,808,NaN
100974,52,2011,11,08,-59.465,34.9679,11/08/2011,pdt,16,22.8,896,880,NaN
100974,53,2011,11,14,-58.3666,34.5577,11/14/2011,pdt,88,19.8,952,864,NaN
100974,54,2011,11,22,-57.0812,34.5155,11/22/2011,pdt,80,20.6,920,840,NaN
100974,55,2011,11,25,-56.5025,34.3623,11/25/2011,pdt,80,20.0,848,768,NaN
100974,56,2011,11,26,-56.3375,34.4757,11/26/2011,pdt,8,22.0,904,896,NaN
